GOLDILOCKS, INC.                                                                          
CAKE PLANT PRODUCTION BATCH                                                               
For : 09/15/2022                                                                          
Report Generated : 09/3/2023  11:40:26                                                    

┌────────────────────────────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┐
│    PRODUCT DESCRIPTION     │4A ECQ│4A ECQ│4B ECQ│4B ECQ│5A ECQ│5A ECQ│5B ECQ│6A ECQ│6A ECQ│6B ECQ│6B ECQ│CLRMIL│ RCI  │ RCI  │ REG  │ OBC  │TOTAL │
│                            │ REG  │ OBC  │ REG  │ OBC  │ REG  │ OBC  │ REG  │ REG  │ OBC  │ REG  │ OBC  │ REG  │ REG  │ OBC  │TOTAL │TOTAL │      │
├────────────────────────────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┤
│GELATIN/SALAD                                                                                                                                      │
├────────────────────────────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┤
│Cathedral Window            │  25  │      │  38  │      │  35  │  5   │  25  │  18  │      │  7   │      │      │  25  │      │ 173  │  5   │ 178  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Cathedral Window Singles    │  47  │      │  59  │      │  57  │  10  │  34  │  39  │      │  16  │      │      │  41  │      │ 293  │  10  │ 303  │
├────────────────────────────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┤
│PREMIUM CAKES                                                                                                                                      │
├────────────────────────────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┤
│Black Forest Cake           │  52  │      │  72  │  2   │  36  │  2   │  24  │  28  │  2   │  12  │      │      │ 132  │      │ 356  │  6   │ 362  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Chocolate Cherry Torte      │  43  │      │  70  │  3   │  39  │  1   │  23  │  25  │  2   │  9   │      │      │ 111  │      │ 320  │  6   │ 326  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Classic Sansrival           │  12  │      │  12  │      │  13  │  2   │  8   │  6   │      │  2   │      │      │  34  │      │  87  │  2   │  89  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Crema de Fruta Big          │  7   │      │  9   │      │  9   │  1   │  3   │      │      │  4   │      │      │  12  │      │  44  │  1   │  45  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Crema de Fruta Small        │  26  │      │  41  │  4   │  33  │  4   │  21  │  10  │      │  8   │      │      │  40  │      │ 179  │  8   │ 187  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Chocolate Caramel Decadence │  4   │      │  8   │      │  7   │  1   │  2   │  2   │      │  2   │      │      │  14  │      │  39  │  1   │  40  │
│Cake                        │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Double Dutch Cake 2021      │  5   │      │  9   │      │  5   │  1   │  1   │  1   │      │  2   │      │      │  10  │      │  33  │  1   │  34  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Royal Fudge Cake with Tobler│  43  │      │  65  │  2   │  35  │  2   │  22  │  18  │  2   │  6   │      │      │  80  │      │ 269  │  6   │ 275  │
│one                         │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Chocolate Mousse Cake 2020  │  40  │      │  47  │      │  34  │  2   │  17  │  16  │  1   │  6   │      │      │  73  │      │ 233  │  3   │ 236  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│All About Chocolate Cake 202│  15  │      │  19  │      │  13  │  1   │  7   │  8   │      │  1   │      │      │  40  │      │ 103  │  1   │ 104  │
│0                           │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Chocolate Mousse Cake 8x12  │  4   │  1   │  7   │      │      │      │  2   │  1   │      │  1   │      │      │  8   │      │  23  │  1   │  24  │
├────────────────────────────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┤
│RUSH - W/ ICING                                                                                                                                    │
├────────────────────────────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┤
│Triple Delight 9 Round      │  11  │      │  20  │      │  6   │      │  9   │  13  │  2   │  5   │      │      │  50  │      │ 114  │  2   │ 116  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Triple Delight 8x12         │  4   │      │  14  │      │  3   │      │  4   │  4   │  1   │  3   │      │      │  30  │      │  62  │  1   │  63  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Mocha 8x12 with Filling     │  56  │      │  85  │  4   │  53  │  2   │  42  │  41  │  2   │  14  │      │      │ 165  │  3   │ 456  │  11  │ 467  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Mocha 9 Round with Filling  │  50  │      │  81  │  5   │  55  │  2   │  34  │  41  │  2   │  12  │      │      │ 197  │  5   │ 470  │  14  │ 484  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Mocha 12x12 with Filling    │  13  │  1   │  14  │  1   │  9   │      │  4   │  8   │      │  5   │      │      │  35  │  3   │  88  │  5   │  93  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Mocha 12X16 w/ filling      │  1   │      │      │      │      │      │      │      │      │      │      │      │      │      │  1   │      │  1   │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Choco 9 Round with Filling  │  59  │      │  83  │  9   │  63  │  2   │  35  │  43  │  2   │  15  │      │      │ 236  │  5   │ 534  │  18  │ 552  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Choco 12x12 with Filling    │  15  │  1   │  16  │      │  11  │  1   │  4   │  10  │      │  5   │  2   │      │  37  │  1   │  98  │  5   │ 103  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Choco 8x12 with Filling     │  65  │      │ 120  │  2   │  62  │  2   │  48  │  48  │  2   │  20  │      │      │ 203  │      │ 566  │  6   │ 572  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Ube Greeting Cake 9rd       │  32  │  1   │  45  │  5   │  31  │  3   │  26  │  13  │  1   │  7   │  2   │      │  67  │  2   │ 221  │  14  │ 235  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Ube Greeting Cake 8x12      │  13  │      │  22  │  2   │  11  │  1   │  6   │  6   │      │  2   │  2   │      │  24  │      │  84  │  5   │  89  │

                                                                                                                  ───────────────────────────────────
                                                                                                                  PAGE TOTAL :   4846    132   4978  

GOLDILOCKS, INC.                                                                          
CAKE PLANT PRODUCTION BATCH                                                               
For : 09/15/2022                                                                          
Report Generated : 09/3/2023  11:40:26                                                    

┌────────────────────────────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┐
│    PRODUCT DESCRIPTION     │4A ECQ│4A ECQ│4B ECQ│4B ECQ│5A ECQ│5A ECQ│5B ECQ│6A ECQ│6A ECQ│6B ECQ│6B ECQ│CLRMIL│ RCI  │ RCI  │ REG  │ OBC  │TOTAL │
│                            │ REG  │ OBC  │ REG  │ OBC  │ REG  │ OBC  │ REG  │ REG  │ OBC  │ REG  │ OBC  │ REG  │ REG  │ OBC  │TOTAL │TOTAL │      │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Strawberry Greeting Cake 9 R│  14  │      │  16  │      │  6   │  2   │  7   │  2   │      │  1   │      │      │  32  │      │  78  │  2   │  80  │
│ound                        │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Strawberry Greeting Cake 8x1│  3   │      │  5   │  1   │  2   │  1   │  2   │      │      │      │      │      │  8   │  1   │  20  │  3   │  23  │
│2                           │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Vanilla - Marble Greeting Ca│  28  │      │  52  │      │  31  │  1   │  20  │  18  │      │  8   │      │      │ 108  │      │ 265  │  1   │ 266  │
│ke 8x12                     │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Vanilla - Marble Greeting Ca│  40  │      │  51  │  4   │  45  │  1   │  24  │  30  │  1   │  8   │      │      │ 162  │  4   │ 360  │  10  │ 370  │
│ke 9 Round                  │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Luscious Caramel 9 Round    │  60  │      │  79  │  6   │  45  │  1   │  45  │  34  │  2   │  12  │  3   │      │ 157  │  4   │ 432  │  16  │ 448  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│COFFEE CARAMEL CAKE         │  43  │  1   │  72  │  5   │  39  │  3   │  35  │  21  │  1   │  11  │      │      │  84  │  1   │ 305  │  11  │ 316  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Luscious Caramel 8x12       │  23  │      │  30  │  3   │  30  │  1   │  31  │  19  │  2   │  5   │      │      │  99  │  2   │ 237  │  8   │ 245  │
├────────────────────────────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┤
│ROLLS                                                                                                                                              │
├────────────────────────────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┤
│Classic Mocha Whole Roll    │  91  │      │ 134  │      │  91  │  5   │  67  │  65  │  3   │  27  │      │      │ 221  │      │ 696  │  8   │ 704  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Classic Mocha Half Roll     │  5   │      │  3   │      │  10  │      │  5   │  5   │  1   │  2   │      │      │  25  │      │  55  │  1   │  56  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Dulce de Leche Whole Roll   │  96  │      │ 151  │      │  88  │  5   │  79  │  48  │  4   │  25  │      │      │ 335  │      │ 822  │  9   │ 831  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Dulce de Leche Half Roll    │  4   │      │  4   │      │  6   │      │  5   │  3   │  1   │  1   │      │      │  33  │      │  56  │  1   │  57  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Chocolate Overload Whole Rol│ 131  │      │ 193  │  4   │ 116  │  5   │  87  │  76  │  6   │  44  │      │      │ 348  │      │ 995  │  15  │ 1010 │
│l                           │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Chocolate Overload Half Roll│  6   │      │  2   │      │  10  │      │  5   │  5   │  1   │  2   │      │      │  34  │      │  64  │  1   │  65  │
├────────────────────────────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┤
│TRAY PRODUCTS                                                                                                                                      │
├────────────────────────────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┤
│Brazo de Mercedes Whole Roll│  37  │      │  45  │      │  40  │  4   │  20  │  11  │      │  8   │      │      │  69  │      │ 230  │  4   │ 234  │
│ 2020                       │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Brazo de Mercedes Half Roll │  6   │      │  4   │  1   │  8   │      │  6   │  4   │      │  2   │      │      │  19  │  2   │  49  │  3   │  52  │
│2020                        │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Cheesy Taisan               │  62  │      │  69  │  4   │  47  │  6   │  40  │  24  │  2   │  17  │      │      │  99  │  4   │ 358  │  16  │ 374  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Eggpie                      │ 143  │      │ 212  │  30  │ 224  │  30  │ 139  │  77  │  3   │  67  │      │      │ 310  │  33  │ 1172 │  96  │ 1268 │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Fluffy Mamon                │ 1755 │ 574  │ 2365 │ 240  │ 1975 │ 175  │ 1388 │ 1170 │ 155  │ 710  │  60  │  5   │ 2836 │ 210  │12204 │ 1414 │13618 │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Special Fluffy Mamon        │ 140  │      │ 214  │  18  │ 196  │  15  │ 116  │ 106  │      │  45  │      │      │ 294  │  8   │ 1111 │  41  │ 1152 │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Chiffon Cake Slice          │ 470  │ 142  │ 628  │  60  │ 519  │  60  │ 409  │ 395  │  55  │ 150  │      │      │ 1113 │  90  │ 3684 │ 407  │ 4091 │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Double Dutch Cake Slice     │ 438  │ 142  │ 603  │  60  │ 514  │  60  │ 387  │ 330  │  55  │ 145  │      │      │ 1115 │  70  │ 3532 │ 387  │ 3919 │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Mocha Marble Cake Slice     │ 440  │ 142  │ 600  │  60  │ 509  │  60  │ 387  │ 335  │  55  │ 145  │      │      │ 1127 │  70  │ 3543 │ 387  │ 3930 │
├────────────────────────────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┤
│CAKE TOPPERS                                                                                                                                       │
├────────────────────────────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┤

                                                                                                                  ───────────────────────────────────
                                                                                                                  PAGE TOTAL :   30268  2841   33109 

GOLDILOCKS, INC.                                                                          
CAKE PLANT PRODUCTION BATCH                                                               
For : 09/15/2022                                                                          
Report Generated : 09/3/2023  11:40:26                                                    

┌────────────────────────────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┐
│    PRODUCT DESCRIPTION     │4A ECQ│4A ECQ│4B ECQ│4B ECQ│5A ECQ│5A ECQ│5B ECQ│6A ECQ│6A ECQ│6B ECQ│6B ECQ│CLRMIL│ RCI  │ RCI  │ REG  │ OBC  │TOTAL │
│                            │ REG  │ OBC  │ REG  │ OBC  │ REG  │ OBC  │ REG  │ REG  │ OBC  │ REG  │ OBC  │ REG  │ REG  │ OBC  │TOTAL │TOTAL │      │
│Cake Topper - Celebrate     │      │      │      │      │  12  │      │      │      │      │      │      │      │      │      │  12  │      │  12  │
├────────────────────────────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┤
│Cflow Topper : BT21 - Koya (│      │      │      │      │  2   │      │      │      │      │      │      │      │      │      │  2   │      │  2   │
│big)                        │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │      │


                                                                                                                  ───────────────────────────────────
                                                                                                                  PAGE TOTAL :    14      0     14   

                                                                                                                  GRAND TOTAL :  35128  2973   38101 
